1,The Prelude - Reunion,3:25
2,"Midgar, City of Mako",4:26
3,Bombing Mission,3:26
4,Let the Battles Begin! - Ex-SOLDIER,1:54
5,Mako Reactor 1,3:57
6,Mako Reactor 1 - Battle Edit,3:54
7,Scorpion Sentinel,7:10
8,Getaway,6:16
9,Shinra's Theme,4:10
10,Those Chosen by the Planet,2:40
11,The Promised Land - Cycle of Souls,2:52
12,Chance Meeting in Sector 8,3:19
13,Let the Battles Begin! - Break Through,7:00
14,A Close Call,0:45
15,Shinra Creed,2:01
16,Shining Beacon of Civilization,2:04
17,Tifa's Theme - Seventh Heaven,4:07
18,Noises in the Night,1:21
19,Mako Poisoning,1:28
20,Main Theme of FFVII - Sector 7 Undercity,6:11
1,Avalanche's Theme,3:17
2,Scrap Boulevard Cleanup Crew,3:21
3,Johnny's Theme,2:33
4,Let the Battles Begin! - A Merc's Job,2:54
5,On Our Way,2:41
6,The Star of Seventh Heaven,1:57
7,Lurking in the Darkness - Suspicious Man,1:32
8,Just Another Job,3:31
9,Lay Down Some Rubber - Let's Ride,5:10
10,Midnight Spiral,2:00
11,Speed Demon,2:25
12,The Red Zone,1:49
13,RUN RUN RUN,1:17
14,Jessie's Theme,2:28
15,Moonlight Thievery,4:27
16,"A Tower, a Promise",2:40
17,S7-6 Annex Diversion,6:41
18,Ignition Flame,3:00
19,Under Cover of Smoke,6:12
20,Main Theme of FFVII - Nightfall in the Undercity,5:32
21,Whispers' Theme,2:48
22,A New Operation,2:50
1,Target: Mako Reactor 5,2:52
2,Hurry!,1:26
3,Dogged Pursuit,4:30
4,Born Survivors - Section C,1:37
5,Born Survivors - Section E,2:28
6,Crab Warden,6:30
7,Undercity Suns,1:32
8,Tightrope,2:32
9,Maze of Scrap Metal,2:25
10,Critical Shot,2:23
11,Game Over,0:32
12,The Rendezvous Point,1:52
13,A Trap Is Sprung,1:52
14,The Airbuster,7:34
15,Who Am I?,1:53
16,The Turks' Theme,2:25
17,The Turks: Reno,6:45
18,Flowers Blooming in the Church,6:03
19,Under the Rotting Pizza,3:01
20,Anxiety,2:20
21,Aerith's Theme - Home Again,4:16
22,Hollow Skies,2:55
23,Let the Battles Begin! - The Hideout,1:34
24,Whack-a-Box,1:52
1,Midnight Rendezvous,3:28
2,Collapsed Expressway,2:39
3,High Five,3:24
4,The Oppressed - Beck's Badasses,3:16
5,Due Recompense,5:25
6,Wall Market - The Town That Never Sleeps,2:05
7,Wall Market - Chocobo Sam,2:13
8,Wall Market - Madam M,2:07
9,The Most Muscular,1:40
10,An Unforgettable Night,2:36
11,The Sweetest Honey,1:54
12,Luxury Massage,1:46
13,Tonight's Corneo Cup,1:12
14,Corneo Colosseum,1:59
15,Colosseum Death Match,2:42
16,Just Desserts,3:11
17,Electric Executioners,3:16
18,Hell House,7:16
19,Victory Fanfare,1:06
20,A Certain Gaudiness,1:17
21,Let the Battles Begin! -REMAKE-,0:54
22,Stand Up,2:10
23,Funk with Me,0:52
24,Sync or Swim,1:02
25,Vibe Valentino,0:50
26,Stand Up - Reprise,1:47
27,Don of the Slums,2:10
28,The Audition,3:21
29,"Smash 'Em, Rip 'Em",5:52
1,Abzu,4:02
2,Rough Waters,2:56
3,Darkness Ahead,2:56
4,Any Last Words?,3:03
5,Ascension,2:06
6,Train Graveyard,3:36
7,Haunted,2:27
8,"Come On, This Way",3:49
9,Ghoul,7:23
10,Alone,1:21
11,Black Wind,4:21
12,Waiting to Be Found,1:35
13,Eligor,5:50
14,Fight for Survival,3:02
15,Come Back to Us,3:50
16,Cheap Play,2:16
17,Those in Need,2:06
18,Slums on Fire,3:28
19,Get to Safety!,1:41
20,Aerith and Marlene - A Familiar Flower,2:00
21,Limited Options,1:29
22,The Look on Her Face,5:38
23,Rematch atop the Pillar,4:21
1,Return to the Planet,4:27
2,A Broken World,3:24
3,Daughter's Farewell,3:13
4,Infinity's End,3:27
5,Wild de Chocobo,1:36
6,Leslie's Theme,2:16
7,The Day Midgar Stood Still,2:23
8,Fires of Resistance,2:37
9,A Solemn Sunset,3:30
10,The Valkyrie,8:51
11,The Shinra Building,4:43
12,Operation: Save Aerith,2:52
13,All Quiet at the Gates,2:30
14,Hand over Hand,1:59
15,Scarlet's Theme,4:11
16,Stewards of the Planet,2:36
17,Corporate Archives,2:02
18,Cultivating Madness,2:05
19,Another Day at Shinra HQ,1:52
20,The Turks' Theme - Office,1:43
21,Home Away from Home,1:34
22,Infiltrating Shinra HQ,2:32
23,The Drum,2:22
24,Catastrophe,2:21
25,Final Experiment,2:35
1,Trail of Blood,2:27
2,J-E-N-O-V-A - Quickening,6:20
3,Rufus Shinra,6:57
4,The Arsenal,4:54
5,Midgar Expressway,10:04
6,Arbiter of Fate - Advent,2:04
7,Arbiter of Fate - Rebirth,3:25
8,Arbiter of Fate - Singularity,5:14
9,"I'm Waiting, Cloud",1:59
10,One-Winged Angel - Rebirth,10:19
11,Seven Seconds till the End,2:31
12,Hollow,6:20
13,Credits,12:47
